FECHA,QNETA
2018-9-1,1102
2018-8-1,1468
2018-7-1,670
2018-6-1,1198
2018-5-1,1117
2018-4-1,756
2018-3-1,1420
2018-2-1,881
2018-1-1,847
2017-12-1,1256
2017-11-1,1320
2017-10-1,1783
2017-9-1,1199
2017-8-1,810
2017-7-1,742
2017-6-1,671
2017-5-1,1570
2017-4-1,949
2017-3-1,777
2017-2-1,1800
2017-1-1,1140
2016-12-1,853
2016-11-1,849
2016-10-1,1600
2016-9-1,929
2016-8-1,806
2016-7-1,629
2016-6-1,1198
2016-5-1,892
2016-4-1,1203
2016-3-1,1014
2016-2-1,1542
2016-1-1,756
2015-12-1,811
2015-11-1,697
2015-10-1,1063
2015-9-1,897
2015-8-1,991
2015-7-1,1005
2015-6-1,1273
2015-5-1,687
2015-4-1,1048
2015-3-1,899
2015-2-1,1317
2015-1-1,764
2014-12-1,1063
2014-11-1,993
2014-10-1,920
2014-9-1,1023
2014-8-1,779
2014-7-1,906
2014-6-1,554
2014-5-1,285
2014-4-1,981
2014-3-1,1137
2014-2-1,838
2014-1-1,736
2013-12-1,530
2013-11-1,579
2013-10-1,404
2013-9-1,798
2013-8-1,684
2013-7-1,544
2013-6-1,644
2013-5-1,911
2013-4-1,661
2013-3-1,772
2013-2-1,739
2013-1-1,460
